"Age","Sig1Mean","Sig1Med","Sig1RobMean","Sig7Mean","Sig7RobMean","Sig7Med","Cohort"
"57",81,14,14,179,179,NA,179,"BRAF"
"58",82,14,14,141,141,NA,141,"BRAF"
"59",83,43,43,396,396,NA,396,"BRAF"
"60",84,52,52,450,450,NA,450,"BRAF"
"61",86,111,111,1019,1019,NA,1019,"BRAF"
"62",90,19,19,32,32,NA,32,"BRAF"
"63",30,17,17,17,347,347,347,"NRAS"
"64",33,20,20,20,217,217,217,"NRAS"
"65",34,34,34,34,256,256,256,"NRAS"
"66",35,27,27,27,509,509,509,"NRAS"
"67",38,44.5,44.5,44.5,506,493.674994302932,506,"NRAS"
"68",39,34.5,34.5,33.436506994601,525,462.194764141698,525,"NRAS"
"69",40,22.5,22.5,22.2261107708929,238.5,206.402519364469,238.5,"NRAS"
"70",43,63,93,93,1109.2,820,820,"NRAS"
"71",44,50,50,46.6476151587624,991,926.757789284774,991,"NRAS"
"72",45,10,10,10,609,609,609,"NRAS"
"73",46,28.3333333333333,21,22.1569091925254,401,444,444,"NRAS"
"74",47,36,36,36,977,977,977,"NRAS"
"75",48,28.1666666666667,31.5,30.5941170815567,629.833333333333,722.423698393124,722.5,"NRAS"
"76",49,16,16,16,340,340,340,"NRAS"
"77",50,19,19,19,164,164,164,"NRAS"
"78",51,16,16,16,11,11,11,"NRAS"
"79",52,60,42,42,535.8,310,310,"NRAS"
"80",54,36.6666666666667,25,25,432,319,319,"NRAS"
"81",55,19.5,19.5,19.6539581190713,196.5,196.27022188809,196.5,"NRAS"
"82",56,16,16,16,0,4.15764359551784e-07,0,"NRAS"
"83",57,9.33333333333333,11,11,149.666666666667,170,170,"NRAS"
"84",58,24.75,15.5,12.9614813968157,336.25,274.1404749394,337,"NRAS"
"85",60,82.5,82.5,77.0454411370329,1018,1005.34770104676,1018,"NRAS"
"86",62,22,4,4,806.666666666667,545,545,"NRAS"
"87",63,144.5,144.5,110.172591872934,1051,953.075023279909,1051,"NRAS"
"88",65,63.3333333333333,72,72,684.333333333333,675,675,"NRAS"
"89",66,47.6666666666667,49,49,921.666666666667,556,556,"NRAS"
"90",67,6,6,6,358,358,358,"NRAS"
"91",68,146,146,93.6589557917448,3202,1324.98264139573,3202,"NRAS"
"92",69,52,52,52,521,521,521,"NRAS"
"93",70,31.6,26,26,603,708,708,"NRAS"
"94",71,34.75,37.5,37.5,650.75,559.910707166776,584,"NRAS"
"95",72,84,84,84,1134,1134,1134,"NRAS"
"96",73,77.2,87,87,900.4,795,795,"NRAS"
"97",74,53,53,53,362,362,362,"NRAS"
"98",75,72.6666666666667,69,69,933.333333333333,858,858,"NRAS"
"99",77,59,59,59,878,878,878,"NRAS"
"100",78,84.5,84.5,78.8035532193822,1218.5,819.780458415544,1218.5,"NRAS"
"101",79,21.5,21.5,19.7484176581315,587.5,24.2383992870816,587.5,"NRAS"
"102",80,43,43,38.5746030439718,614,597.590997254811,614,"NRAS"
"103",83,91.5,91.5,79.9499843652267,1326.5,1323.99395769014,1326.5,"NRAS"
"104",84,39,39,39,446,446,446,"NRAS"
"105",85,48,48,48,917,917,917,"NRAS"
"106",86,14,14,14,268,268,268,"NRAS"
"107",39,83,83,83,1620,1620,1620,"NF1"
"108",43,65,65,65,1293,1293,1293,"NF1"
"109",45,71,71,70.5478560978291,1123,1113.46890392143,1123,"NF1"
"110",52,68,68,68,1741,1741,1741,"NF1"
"111",54,117,117,117,1711,1711,1711,"NF1"
"112",56,4,4,4,20,20,20,"NF1"
"113",58,44,44,44,0,4.15764359551784e-07,0,"NF1"
"114",59,81.5,81.5,67.6165660175079,1028,90.598013223249,1028,"NF1"
"115",60,96,96,96,2457,2457,2457,"NF1"
"116",61,43,43,43,865,865,865,"NF1"
"117",63,4,4,4,7,7,7,"NF1"
"118",64,2,2,2,2,2,2,"NF1"
"119",66,117,117,117,1971,1971,1971,"NF1"
"120",68,32,32,32,357,357,357,"NF1"
"121",69,62.5,62.5,58.309518948453,503.5,501.703099452256,503.5,"NF1"
"122",70,63,10,10,920,37,37,"NF1"
"123",71,53,53,34.7706773014274,1291.5,688.778629169053,1291.5,"NF1"
"124",72,89,89,88.5437744847146,1898,1515.99472294596,1898,"NF1"
"125",74,32.5,32.5,13.6381816969859,990,628.390801969602,990,"NF1"
"126",75,67,67,67,3828,3828,3828,"NF1"
"127",77,79.5,79.5,79.5,1717.5,1707.56141910035,1717.5,"NF1"
"128",78,112,95,95,1728.66666666667,1543,1543,"NF1"
"129",79,4,4,4,248,248,248,"NF1"
"130",81,64.5,64.5,34.4963766213207,501,22.3830292855994,501,"NF1"
"131",82,79,49,49,2105.33333333333,2590,2590,"NF1"
"132",83,23,23,23,232,232,232,"NF1"
"133",84,129,129,129,1527,1527,1527,"NF1"
"134",85,59,59,59,948,948,948,"NF1"
"135",86,83,83,83,1173,1173,1173,"NF1"
"136",90,22.5,22.5,21.2132034355964,5054,4244.86360204895,5054,"NF1"
"137",25,18,18,18,0,4.15764359551784e-07,0,"W3"
"138",32,29,29,28.7228132326901,236,233.390231158033,236,"W3"
"139",34,22,22,22,325,325,325,"W3"
"140",37,13.5,13.5,9.59166304662544,163.5,138.115893364956,163.5,"W3"
"141",39,5,5,5,106,106,106,"W3"
"142",41,1,1,1,0,4.15764359551784e-07,0,"W3"
"143",42,49,49,49,3548,3548,3548,"W3"
"144",48,52.5,52.5,51.8073353879545,645,642.01323973887,645,"W3"
"145",49,10,10,10,0,4.15764359551784e-07,0,"W3"
"146",50,25,25,24.2693221990232,312.5,17.6776695296637,312.5,"W3"
"147",51,12,12,12,1,1,1,"W3"
"148",53,18,18.5,15.8745078663875,274,251.374223022171,283,"W3"
"149",54,6,6,6,321,321,321,"W3"
"150",55,21.75,23.5,23.6556573818084,98.5,2.08907286142213,3,"W3"
"151",56,22.5,22.5,22.3606797749979,231,15.1986841535707,231,"W3"
"152",57,10.5,10.5,9.48683298050514,135,11.6189500386223,135,"W3"
"153",58,6,6,5.19615242270663,126,11.2249721603218,126,"W3"
"154",59,65,65,65,1222,1222,1222,"W3"
"155",60,3,3,3.11166530857395,2,2.08841837827714,2,"W3"
"156",61,12,12,12,0,4.15764359551784e-07,0,"W3"
"157",63,67.3333333333333,30,30,670,7,7,"W3"
"158",64,45,45,43.081318457076,451,94.4457516249407,451,"W3"
"159",65,21,17,17,78.6666666666667,6,6,"W3"
"160",66,27,19,19,156.666666666667,111,111,"W3"
"161",67,14,14,14,551.5,551.418171626579,551.5,"W3"
"162",68,17,15.5,10.3923048454133,491,63.7102817447859,230,"W3"
"163",69,2,2,2,1,1,1,"W3"
"164",70,46,23,23.1570833975142,611.25,41.2795348811006,110.5,"W3"
"165",71,42.5,42.5,27.3861278752583,400,48.8978527135906,400,"W3"
"166",72,23,23,22.4499443206436,264,22.956480566498,264,"W3"
"167",73,92.3333333333333,23,23,1539.66666666667,873,873,"W3"
"168",74,32.5,32.5,32.1869538788622,281,271.882327487463,281,"W3"
"169",75,16.6666666666667,9,10.147641357573,61.3333333333333,56,56,"W3"
"170",76,46.6666666666667,57,57,340,495,495,"W3"
"171",77,30,39,39,608.333333333333,593,593,"W3"
"172",79,13,13,13,0,4.15764359551784e-07,0,"W3"
"173",80,63,63,63,597,597,597,"W3"
"174",82,38,38,38,937,937,937,"W3"
"175",83,20,20,20,0,4.15764359551784e-07,0,"W3"
"176",85,51,51,51,876,876,876,"W3"
"177",87,194,194,192.860052888098,3258.5,3102.70881650212,3258.5,"W3"
"178",90,3,3,3,1,1,1,"W3"
